,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True
27,1637.3184189075062,1639.9609924797098,1636.1588223461558,1641.0210395039355,1646.3429733132336,1644.4509876963343,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546
28,1643.8318362392647,1637.2378460008958,1637.9544471220415,1641.8332237353359,1646.5226291185131,1640.3980771661477,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113
29,1641.1758856980098,1637.2968757654878,1637.0792666991795,1640.3227150556213,1644.6418428245406,1644.1912256228998,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542
30,1649.1834793635485,1649.024277877225,1647.5638550583762,1648.4497681657094,1649.9997855679703,1643.8499573659444,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554
31,1659.1271559800093,1658.2844069297887,1656.841871918392,1657.1689854755375,1652.2377835994537,1649.934067318853,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027
32,1657.72731838727,1659.3129558582834,1657.4920548327373,1651.7932326977314,1652.1086802934951,1652.2636820337211,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278
33,1653.719594014169,1657.6540561497925,1650.7271971466632,1650.806759003287,1651.559680150868,1649.5060043092171,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804
34,1667.2843072704627,1653.5227503591202,1650.5669068372772,1649.3093939733958,1649.4300977871594,1653.0048594468444,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069
35,1678.756458147166,1688.1713556207283,1686.7678626934228,1690.231564400753,1695.5043456260958,1697.3635110049743,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645
36,1715.517069057334,1704.8755346310143,1702.858567681178,1706.3335464845106,1712.143039706492,1700.2226825935,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917
37,1746.4202007577037,1725.1824736083013,1721.8158326996677,1725.560139664768,1718.4866784136075,1719.6517190902691,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444
38,1748.0012496172403,1731.27677183415,1730.100920699941,1722.7461542333276,1728.8962157545814,1733.0373987258902,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114
39,1734.564473070767,1731.3808322096756,1718.9353512883513,1723.6391446905661,1728.9550121999455,1724.066507742519,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902
40,1750.0340822745557,1744.2079456143365,1743.5907384841637,1748.8065898179634,1754.9504294931467,1721.098064982384,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178
41,1759.5706168387921,1754.4752359995284,1754.0089086365601,1758.9065903169403,1764.3116635443528,1753.132406071408,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282
42,1765.805062147374,1755.5561262080894,1754.9646619660325,1759.7986474972681,1765.191899217147,1733.888313949078,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867
43,1764.3139967366292,1757.0317147767346,1756.7509539728126,1761.7051766793566,1755.3329174803177,1754.3403774859548,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003
