,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_6 Pred,Step_7 Pred,Step_8 Pred,Step_9 Pred,Step_10 Pred,Step_11 Pred,Step_12 Pred,Step_13 Pred,Step_14 Pred,Step_15 Pred,Step_16 Pred,Step_17 Pred,Step_18 Pred,Step_19 Pred,Step_20 Pred,Step_21 Pred,Step_22 Pred,Step_23 Pred,Step_24 Pred,Step_25 Pred,Step_26 Pred,Step_27 Pred,Step_28 Pred,Step_29 Pred,Step_30 Pred,Step_31 Pred,Step_32 Pred,Step_33 Pred,Step_34 Pred,Step_35 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True,Step_6 True,Step_7 True,Step_8 True,Step_9 True,Step_10 True,Step_11 True,Step_12 True,Step_13 True,Step_14 True,Step_15 True,Step_16 True,Step_17 True,Step_18 True,Step_19 True,Step_20 True,Step_21 True,Step_22 True,Step_23 True,Step_24 True,Step_25 True,Step_26 True,Step_27 True,Step_28 True,Step_29 True,Step_30 True,Step_31 True,Step_32 True,Step_33 True,Step_34 True,Step_35 True
61,1829.7213090967005,1870.1580199844232,1861.8792316032957,1858.5054355716811,1830.7336034523364,1835.1764681849786,1831.6293937403066,1822.0872595146068,1819.888148021063,1822.7055554678418,1770.1931746345974,1774.5021141305765,1772.950619039874,1764.6442989898856,1747.6749915639296,1723.414302728201,1458.8124107816832,1420.3496583328356,1363.111940955358,1283.8415778199228,1208.4929998087428,1164.4824605382457,851.7013924541367,867.4334080159398,878.2946513816167,881.5438549456737,884.6980975840829,898.8483643286668,750.9421729072868,804.1265131161224,858.9961958792477,901.3898329022282,932.698551193305,972.8109483546139,883.1906998274036,882.0442469158768,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836
62,1778.3170390485745,1826.0605304150938,1819.7756881533423,1786.4288486357907,1786.8821101220112,1787.3856907883253,1780.808032895891,1771.7131716295692,1769.4326317255804,1701.5411695488701,1711.2754810450658,1710.5286261974036,1699.5360241065675,1675.504843617757,1640.9467662164714,1385.7221295747906,1352.2882619853306,1321.5623751248881,1262.242128094609,1187.0749946694536,1128.2502787921348,827.0295951393138,861.9672829239628,895.9082309681514,913.0302069420572,914.975622662085,915.7657971130118,753.4412551544946,795.1899200592137,858.0980723990015,918.1852397305198,953.6173309585292,977.2940995405611,877.4956108000398,924.3227020134811,965.4081181271074,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204
63,1736.1620098223898,1784.246302807409,1748.9943340231343,1747.6658921140518,1746.8880835821897,1744.4116333000625,1736.814681475163,1731.1683561663751,1667.6015436469715,1671.2074923100838,1673.9010850200639,1671.9930781495336,1661.8447027973602,1640.0099895175133,1455.819002864191,1421.5204542171123,1419.5963483198752,1427.4851047254715,1408.8969507251018,1369.4744007468362,1053.769065009691,1072.7207692532554,1122.6810654880808,1164.5169917839357,1173.5444237934707,1158.6053825133258,929.1336667142567,944.1720242122984,992.1039597416715,1068.7384766759665,1135.7480699452892,1170.0071487563594,1029.1169442830655,1053.241219143703,1100.9582287778853,1179.189193640741,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057
64,1661.4115067647163,1711.3528652555651,1715.1836558810423,1715.3341467828675,1713.3916086666472,1707.5986033367524,1695.4490489691461,1613.2909715263377,1599.0575653636395,1596.7450607254646,1594.145262344994,1584.0834484262734,1559.9910605267464,1375.180455777899,1329.534582040902,1302.1977347349464,1300.175323669799,1296.5871850410629,1266.5258691140032,1009.7822465273371,995.8207350379107,1012.0912513770975,1046.2790122775868,1072.7602002027259,1080.248347494471,938.9058536984053,951.1835003219837,979.5702063792248,1033.3118295632687,1103.6279451535709,1157.34304771874,1070.8110902615938,1081.2584253174448,1101.1992086534954,1144.8085555120726,1206.8302114464577,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589
65,1580.4701113209528,1702.1677094481483,1707.3171425751477,1708.3759452301592,1706.2133093092025,1699.1905561035148,1632.5832051826364,1608.0871750192991,1594.6617533419042,1592.1272065720957,1588.2367639974195,1575.5095889952627,1419.5402739321669,1370.4184881149267,1323.7139672690703,1296.102036593732,1292.461945550309,1286.0760760629914,1067.4954296041985,1036.9400213260822,1024.624382554937,1036.7983187818313,1062.8623319279575,1081.325543481928,966.1230860136596,969.9463326507766,980.5160825280606,1005.1516375895241,1051.7856960286347,1113.9016907040607,1060.505924388449,1092.1147300928035,1102.7837184149084,1121.2962380989861,1159.873316969375,1219.343121624569,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654
66,1531.5650012931108,1694.0108692499987,1700.1218886871611,1701.2688082371433,1696.9565244989014,1642.9726770700336,1615.9950636015612,1587.7605594538147,1572.3218261611498,1571.0848453893004,1568.4883134780168,1435.3665504619348,1398.6024397633523,1344.2954452042088,1293.2357876553012,1263.8775403341845,1258.6651887887992,1100.2886025945704,1076.6395212275515,1054.212565974889,1044.9216776708151,1053.4580115927147,1071.6397623850805,989.4532977695764,994.9926850990311,998.4205334183812,1007.602500529687,1027.7279949209492,1065.3734690019262,1029.8966193687488,1077.8731188706001,1108.3016792619585,1122.4443631316442,1141.744840733986,1175.4879729596773,1154.2595785793803,1827.6607892243721,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654,546.5726165992321
67,1494.6150907162541,1668.669290205709,1677.830647451907,1679.9948388343814,1631.0933841411054,1608.6362529350022,1575.640014443511,1540.168103400652,1519.4187911677673,1518.9359759127128,1397.162393490384,1387.8640000844878,1346.6601355762982,1290.4017367702843,1240.7580936138988,1215.3521184627816,1109.8943940828767,1105.3930439971741,1093.0350188996752,1080.9076298586942,1075.5930067185286,1080.1938285682802,1021.5512572346693,1031.3007344806613,1035.2580619005932,1039.888204199951,1049.4206167911657,1066.3015351163858,1035.7462434978834,1067.96867877092,1102.0896714857677,1126.868717872227,1143.333822447262,1163.432679560036,1117.2397500073089,1183.3663855461816,1800.1072661290189,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654,546.5726165992321,551.4966147441628
68,1479.087540570936,1621.7009630864723,1634.1286339734204,1589.3213873136228,1582.4397922406547,1560.519295258114,1529.0081336505252,1488.1780465450083,1456.0480445726535,1335.7429733690647,1343.429130911997,1327.0134122401448,1288.0386796327884,1244.5577750090247,1212.1188583792798,1141.7708558278675,1144.6812021003213,1145.3049032823299,1142.2180121276315,1138.3180423511603,1136.73046055325,1093.7844791453795,1100.8904106557193,1103.7652146324965,1103.8657752196077,1106.982142370064,1115.6111429118728,1096.512525327974,1114.8318566915689,1136.8687799687,1155.9809300678019,1167.2080957554876,1176.5789736681027,1145.875057701596,1159.7204151021976,1203.9356531084072,1813.7246317576823,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654,546.5726165992321,551.4966147441628,542.746669778137
69,1465.9514347358092,1591.4879896614493,1553.0099159166537,1562.0395255723133,1555.8876752703145,1538.8297065378567,1512.0061615327,1475.4028855550346,1355.9316194979403,1354.0686432383438,1351.2624351144916,1337.5599079677409,1317.0147500590376,1296.0755937479332,1238.0203257968196,1237.700445135731,1240.1995273829386,1241.7649438542235,1241.3707121325947,1240.2290811517723,1207.5752775133749,1212.3813425103701,1216.6009985152407,1216.8790372615067,1215.4645783305023,1217.1090122468797,1203.812927194671,1214.6537940144676,1228.9259311689532,1242.901364038962,1251.7984483733242,1254.4641983221397,1232.4497514639377,1238.1833381638612,1244.6791787804711,1265.4278688287488,1799.7306111225387,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654,546.5726165992321,551.4966147441628,542.746669778137,559.9486620950788
70,1724.4048983956668,1720.0673384077645,1717.3320593291135,1714.850087158599,1713.2536392300385,1712.533849412782,1710.4463422831238,1685.073031823876,1681.2430967022333,1676.1060294942986,1670.567108803299,1667.3938895343756,1665.6670161575666,1631.3394581531854,1624.404277430937,1620.8113946445726,1621.597835987857,1622.4192752152871,1620.6732696618121,1577.1316242657872,1579.8685365790318,1585.5357828452309,1591.5487304337105,1596.6962970068887,1600.3868627765569,1565.6856829156548,1571.4248692770416,1579.442262350141,1588.9132342114117,1596.8853633543497,1601.1880810042585,1567.6708406774567,1568.5389437504136,1571.4756550955904,1579.2541292795906,1595.1343803240184,1771.5357712434902,1787.2446104286814,1798.4959635429655,1843.2119823847577,1820.609571072913,1803.4949835412156,1784.0279937834175,1792.3581901677007,1652.0783487939025,1913.5969271472125,2024.2477931227604,1969.1421468474193,1931.6544354508621,1939.8713164635901,1547.0050567280655,1359.9349108057165,1313.6468647811898,1316.119970821054,1277.3213164574868,1281.713473144656,1353.3934173935656,762.8913255016229,544.9809322715693,537.9543851980239,535.4308360272265,636.3174430115483,1054.1545472602836,940.5159896883204,633.5403025748057,535.4776141019589,539.1780011528654,546.5726165992321,551.4966147441628,542.746669778137,559.9486620950788,683.2246891013169
